"Län","Gröda","Variabel","Tabelluppgift","2021","2022","2023","2024","2025"
"05 Östergötlands län","Råg","Areal, hektar","Värde",1680,1280,1730,2170,2140
"05 Östergötlands län","Råg","Totalskörd, ton","Värde",11000,..,10100,13400,14200
"05 Östergötlands län","Höstkorn","Areal, hektar","Värde",2480,2060,1690,1940,1760
"05 Östergötlands län","Höstkorn","Totalskörd, ton","Värde",17300,13800,9400,10800,12200
"05 Östergötlands län","Vårkorn","Areal, hektar","Värde",9540,9130,9130,10600,8040
"05 Östergötlands län","Vårkorn","Totalskörd, ton","Värde",40600,53800,36400,50200,49200
"05 Östergötlands län","Havre","Areal, hektar","Värde",9540,7140,6850,8510,8540
"05 Östergötlands län","Havre","Totalskörd, ton","Värde",31800,36000,21800,31000,43100
"05 Östergötlands län","Rågvete","Areal, hektar","Värde",5170,4890,4530,3790,5940
"05 Östergötlands län","Rågvete","Totalskörd, ton","Värde",26200,28700,20900,18700,37400
"05 Östergötlands län","Höstrågvete","Areal, hektar","Värde",4960,4790,4290,3580,5530
"05 Östergötlands län","Höstrågvete","Totalskörd, ton","Värde",26200,28400,20200,18000,35200
"05 Östergötlands län","Vårrågvete","Areal, hektar","Värde",210,100,240,210,410
"05 Östergötlands län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Blandsäd","Areal, hektar","Värde",580,640,370,430,700
"05 Östergötlands län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Majs","Areal, hektar","Värde",..,..,..,0,10
"05 Östergötlands län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Spannmål totalt","Areal, hektar","Värde",91140,88160,90460,91780,91980
"05 Östergötlands län","Spannmål totalt","Totalskörd, ton","Värde",538900,591800,488800,547400,658000
"05 Östergötlands län","Ärter","Areal, hektar","Värde",3590,2650,2730,3120,3140
"05 Östergötlands län","Ärter","Totalskörd, ton","Värde",9400,10900,7100,8400,14100
"05 Östergötlands län","Åkerbönor","Areal, hektar","Värde",3840,3860,4290,3260,3180
"05 Östergötlands län","Åkerbönor","Totalskörd, ton","Värde",10200,13200,11900,10100,12600
"05 Östergötlands län","Höstraps","Areal, hektar","Värde",11460,13770,14000,10150,12560
"05 Östergötlands län","Höstraps","Totalskörd, ton","Värde",38800,40200,40200,32300,48900
"05 Östergötlands län","Vårraps","Areal, hektar","Värde",400,530,550,870,770
"05 Östergötlands län","Vårraps","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Höstrybs","Areal, hektar","Värde",40,40,20,..,..
"05 Östergötlands län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Vårrybs","Areal, hektar","Värde",30,..,..,..,..
"05 Östergötlands län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",2320,2210,4330,3100,2500
"05 Östergötlands län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",6700,5500,13500,..,10300
"05 Östergötlands län","Majs till grönfoder","Areal, hektar","Värde",760,840,1040,1480,1680
"05 Östergötlands län","Majs till grönfoder","Totalskörd, ton","Värde",..,..,..,..,19000
"05 Östergötlands län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",840,600,760,730,690
"05 Östergötlands län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Oljelin","Areal, hektar","Värde",1540,2000,1530,820,740
"05 Östergötlands län","Oljelin","Totalskörd, ton","Värde",2400,3700,1800,..,..
"05 Östergötlands län","Matpotatis","Areal, hektar","Värde",1760,1650,1750,1780,1920
"05 Östergötlands län","Matpotatis","Totalskörd, ton","Värde",62500,66700,68100,57000,74300
"05 Östergötlands län","Potatis för stärkelse","Areal, hektar","Värde",..,20,..,..,10
"05 Östergötlands län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"05 Östergötlands län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"05 Östergötlands län","Slåttervall, första skörd","Areal, hektar","Värde",62500,60050,58810,58030,56190
"05 Östergötlands län","Slåttervall, första skörd","Totalskörd, ton","Värde",189000,161800,123300,199700,184200
"05 Östergötlands län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"05 Östergötlands län","Slåttervall, återväxt","Totalskörd, ton","Värde",152300,92300,141200,103600,108200
"05 Östergötlands län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"05 Östergötlands län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",341400,254100,264500,303300,292400
"06 Jönköpings län","Höstvete","Areal, hektar","Värde",2700,2830,3330,3160,3510
"06 Jönköpings län","Höstvete","Totalskörd, ton","Värde",14700,16600,16100,14000,22800
"06 Jönköpings län","Vårvete","Areal, hektar","Värde",470,400,330,420,430
"06 Jönköpings län","Vårvete","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Råg","Areal, hektar","Värde",200,240,310,380,390
"06 Jönköpings län","Råg","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Höstkorn","Areal, hektar","Värde",300,360,310,330,260
"06 Jönköpings län","Höstkorn","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Vårkorn","Areal, hektar","Värde",6660,5240,3420,5790,6080
"06 Jönköpings län","Vårkorn","Totalskörd, ton","Värde",21100,20900,7200,21300,30100
"06 Jönköpings län","Havre","Areal, hektar","Värde",3640,3250,2110,2090,3410
"06 Jönköpings län","Havre","Totalskörd, ton","Värde",11800,12700,6200,7300,13200
